id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
11101_818,5,2017,,,50.0,1.0,0.0,0.0,-99
11102_729,5,2017,,,50.0,1.0,0.0,0.0,-99
11102_818,5,2017,,,50.0,1.0,0.0,0.0,-99
11103_729,5,2017,,,50.0,1.0,0.0,0.0,-99
11103_818,5,2017,,,50.0,1.0,0.0,0.0,-99
11104_729,5,2017,,,50.0,1.0,0.0,0.0,-99
11105_729,5,2017,,,50.0,1.0,0.0,0.0,-99
11106_729,5,2017,,,50.0,1.0,0.0,0.0,-99
11107_729,5,2017,,,50.0,1.0,0.0,0.0,-99
11108_232,5,2017,1.646490267162769,0.1158003517695923,80.5,0.04142253879330133,0.5576280311506709,1133.7360561994667,1
11108_729,5,2017,,,50.0,1.0,0.0,0.0,-99
11109_232,5,2017,,,50.0,1.0,0.0,0.0,-99
11109_729,5,2017,,,50.0,1.0,0.0,0.0,-99
11201_231,5,2017,,,50.0,1.0,0.0,0.0,-99
11201_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11202_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11203_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11204_231,5,2017,,,50.0,1.0,0.0,0.0,-99
11204_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11205_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11206_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11207_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11211_231,5,2017,,,50.0,1.0,0.0,0.0,-99
11211_232,5,2017,,,50.0,1.0,0.0,0.0,-99
11211_262,5,2017,,,50.0,1.0,0.0,0.0,-99
11211_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11212_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11213_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11214_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11215_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11216_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11217_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11218_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11219_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11220_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11230_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11240_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11250_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11260_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11270_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11280_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11290_706,5,2017,,,50.0,1.0,0.0,0.0,-99
11300_887,5,2017,,,50.0,1.0,0.0,0.0,-99
11400_231,5,2017,,,50.0,1.0,0.0,0.0,-99
11400_404,5,2017,,,50.0,1.0,0.0,0.0,-99
11410_706,5,2017,,,50.0,1.0,0.0,0.0,-99
